date,farm,crop,yield_mt,yield_per_ha,attainment_pct,fertilizer_kg_ha,labour_mandays_ha,rainfall_mm
2023-01-01,Farm A — Delta,Oil Palm,1736.2,3.33,118.1,89.0,21.6,181.7
2023-01-01,Farm B — Cross River,Maize,1167.1,2.13,113.4,76.4,19.0,173.5
2023-01-01,Farm C — Ogun,Oil Palm,1610.6,3.19,109.6,82.5,24.3,160.4
2023-01-01,Farm D — Ondo,Cassava,919.1,2.17,121.6,73.5,20.8,185.3
2023-02-01,Farm A — Delta,Oil Palm,1645.6,3.15,111.9,77.7,21.6,149.8
2023-02-01,Farm B — Cross River,Maize,1195.3,2.19,116.2,81.5,21.7,198.6
2023-02-01,Farm C — Ogun,Oil Palm,1720.1,3.52,117.0,77.7,20.6,173.8
2023-02-01,Farm D — Ondo,Cassava,1014.5,2.01,134.2,72.3,22.2,195.9
2023-03-01,Farm A — Delta,Oil Palm,1680.8,3.81,114.3,80.4,20.4,163.4
2023-03-01,Farm B — Cross River,Maize,1376.8,2.54,133.8,84.7,18.5,189.1
2023-03-01,Farm C — Ogun,Oil Palm,1727.7,3.61,117.5,87.8,16.4,186.5
2023-03-01,Farm D — Ondo,Cassava,1144.1,2.24,151.3,79.3,21.4,176.6
2023-04-01,Farm A — Delta,Oil Palm,1714.4,3.65,116.6,65.5,23.8,146.2
2023-04-01,Farm B — Cross River,Maize,1352.4,2.42,131.4,90.8,20.1,155.3
2023-04-01,Farm C — Ogun,Oil Palm,1898.7,4.01,129.2,89.4,18.2,185.8
2023-04-01,Farm D — Ondo,Cassava,1025.8,1.88,135.7,78.7,18.5,126.2
2023-05-01,Farm A — Delta,Oil Palm,1747.5,3.15,118.9,86.1,21.9,137.0
2023-05-01,Farm B — Cross River,Maize,1254.9,2.45,122.0,89.1,23.6,120.4
2023-05-01,Farm C — Ogun,Oil Palm,1724.9,3.39,117.3,84.1,20.5,143.9
2023-05-01,Farm D — Ondo,Cassava,1153.4,2.17,152.6,87.6,19.5,127.8
2023-06-01,Farm A — Delta,Oil Palm,1649.6,3.11,112.2,80.2,24.8,94.4
2023-06-01,Farm B — Cross River,Maize,1207.0,2.13,117.3,81.7,24.6,100.8
2023-06-01,Farm C — Ogun,Oil Palm,1680.9,4.0,114.3,89.0,24.6,72.0
2023-06-01,Farm D — Ondo,Cassava,990.2,1.71,131.0,85.5,19.5,110.4
2023-07-01,Farm A — Delta,Oil Palm,1679.3,3.36,114.2,92.6,26.7,62.5
2023-07-01,Farm B — Cross River,Maize,1230.4,2.69,119.6,79.2,21.2,65.9
2023-07-01,Farm C — Ogun,Oil Palm,1644.0,3.37,111.8,72.6,21.0,70.8
2023-07-01,Farm D — Ondo,Cassava,925.4,1.63,122.4,69.8,23.8,65.5
2023-08-01,Farm A — Delta,Oil Palm,1471.1,2.8,100.1,91.6,18.3,63.1
2023-08-01,Farm B — Cross River,Maize,1058.3,2.08,102.8,78.7,21.0,72.2
